"niv1";"name1";"niv2";"name2";"niv3";"name3";"niv4";"name4";"test"
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2928;"MISCELLANEOUS ";2680;"INFANT FOOD ";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2943;"MEAT ";2731;"BOVINE MEAT & products";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2943;"MEAT ";2732;"MUTTON/GOAT MEAT & products";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2943;"MEAT ";2733;"PIG MEAT & products";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2943;"MEAT ";2734;"POULTRY MEAT & products";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2943;"MEAT ";2735;"OTHER MEAT & products";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2945;"OFFALS ";2736;"OFFALS & products";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2946;"ANIMAL FATS";2737;"FATS, ANIMAL, RAW & products";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2946;"ANIMAL FATS";2740;"BUTTER, GHEE & products";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2946;"ANIMAL FATS";2743;"CREAM ";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2949;"EGGS";2744;"EGGS & products";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2909;"SWEETENERS";2745;"HONEY ";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2960;"FISH SEAFOOD";2761;"Freshwater Fish";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2960;"FISH SEAFOOD";2762;"Demersal Fish";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2960;"FISH SEAFOOD";2763;"Pelagic Fish";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2960;"FISH SEAFOOD";2764;"Marine Fish, Other";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2960;"FISH SEAFOOD";2765;"Crustaceans";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2960;"FISH SEAFOOD";2766;"Cephalopods";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2960;"FISH SEAFOOD";2767;"Molluscs, Other";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2961;"AQUATIC PRODUCTS";2769;"Aquatic Animals, Others";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2961;"AQUATIC PRODUCTS";2775;"Aquatic Plants";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2960;"FISH SEAFOOD";2781;"Fish, Body Oil";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2960;"FISH SEAFOOD";2782;"Fish, Liver Oil";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2905;"CEREALS (excluding beer)";2807;"RICE & products";1
2901;"TOTAL";2941;"ANIMAL PRODUCTS  ";2948;"MILK (excluding butter)";2848;"MILK & products (excl. butter)";1
2901;"TOTAL";2903;"VEGETALE PRODUCTS  ";2928;"MISCELLANEOUS ";2899;"MISCELLANEOUS ";1
